year,CR_0,CR_a,CR_b,CR_c,NA,NA
110,1.01397451176835,1.02585366130098,1.01443101955258,1.01438890383876,NA,NA
111,1.01494268392299,1.03100356595223,1.01584111808961,1.01311996054483,NA,NA
112,1.01268296602566,1.03151583473932,1.01220578091109,1.01112226669927,NA,NA
113,1.01002897670874,1.02959675416743,1.00771224275184,1.00815677882784,NA,NA
114,1.00503108858568,1.02172647539864,1.00300436843371,1.00182594558419,NA,NA
115,0.99771834714326,1.01163611950208,0.995616010655722,0.996641133012557,NA,NA
116,0.989705547795475,1.00150712032551,0.986708175437474,0.98827381222292,NA,NA
117,0.982940978630706,0.994284273593937,0.978299861743455,0.980478282625916,NA,NA
118,0.972417556604179,0.987042443775759,0.968148435512224,0.969258353611411,NA,NA
119,0.963683942672823,0.978186816185439,0.958732754042254,0.960072084949239,NA,NA
120,0.956307201397794,0.968517930293039,0.951357466594418,0.948868771054078,NA,NA
121,0.944644789404026,0.95614753918474,0.943531540408623,0.936549123362572,NA,NA
122,0.935650396296877,0.947999920221138,0.934429837134488,0.928622062048135,NA,NA
123,0.928308866276766,0.937577672404377,0.925377306141521,0.920208208842481,NA,NA
124,0.918999948866653,0.930069931558662,0.918200568481404,0.911248927689491,NA,NA
125,0.908406416772854,0.920451276205704,0.907923831811242,0.90223288884657,NA,NA
126,0.897885737288876,0.910787050205703,0.900695387111477,0.896002448618358,NA,NA
127,0.889073617752553,0.901745376558954,0.889771924431829,0.887395364009181,NA,NA
128,0.880692393079745,0.893141343974058,0.884380899022378,0.878641547651453,NA,NA
129,0.87324127350154,0.881604992438064,0.877409893224575,0.870456681671263,NA,NA
130,0.86552351041268,0.874062446387868,0.86823789608425,0.862750347623072,NA,NA
131,0.858233798773639,0.86424399721353,0.859541653914911,0.853810894011213,NA,NA
132,0.850462369588635,0.85594946667439,0.850799306862505,0.849587033726408,NA,NA
133,0.840285331057444,0.849073954909541,0.843547493890703,0.84116026575894,NA,NA
134,0.832097118312445,0.841737788892306,0.833746883310373,0.831793196347237,NA,NA
135,0.820800519631913,0.834044485319247,0.823798562784592,0.824409992339088,NA,NA
136,0.81340468718115,0.826849430447458,0.818555154009797,0.814530127168101,NA,NA
137,0.805714162851655,0.819609133576661,0.810541224548084,0.805168760514726,NA,NA
138,0.797794102275081,0.813904125513501,0.80487763825286,0.798320942870531,NA,NA
139,0.789042969691768,0.807806055406231,0.796854041759259,0.791996644595896,NA,NA
140,0.780573375975856,0.799969434831853,0.78925045853636,0.786321333065229,NA,NA
141,0.771784019844623,0.794570329342218,0.780422254989773,0.780428489371807,NA,NA
142,0.765840974013547,0.790704282664132,0.770930582938979,0.771206957821595,NA,NA
143,0.758218044672251,0.787646727339122,0.763505768949152,0.763946950794788,NA,NA
144,0.750044615168617,0.783146835628934,0.755489356884245,0.757845763132483,NA,NA
145,0.740243816463498,0.777569993739614,0.748667184139748,0.749688181445485,NA,NA
146,0.730883515582506,0.772964248148972,0.742753089497272,0.74122355046478,NA,NA
147,0.724220994037798,0.769285072973978,0.733990485585121,0.735855008464883,NA,NA
148,0.71559916916057,0.765107330508102,0.725621841747827,0.729921111600622,NA,NA
149,0.708084030871906,0.760613580514667,0.718344907949515,0.723864184253441,NA,NA
150,0.700951176219177,0.75555568799826,0.71113893478241,0.716957260289168,NA,NA
151,0.69199862121382,0.747864715486574,0.918587226126216,0.951337051623528,NA,NA
152,0.685066158679489,0.743528693634265,0.976821561494549,1.02933787855268,NA,NA
153,0.681971713430639,0.738410251773563,1.00692444183567,1.0718358352683,NA,NA
154,0.677525151157938,0.735104856864649,1.01739886881266,1.08387866768903,NA,NA
155,0.673517185233584,0.733054548203798,1.01841103517301,1.08590384869544,NA,NA
156,0.672042610294155,0.733116922758258,1.01884694714581,1.0865183521181,NA,NA
157,0.670488054588237,0.733925202884453,1.01995651065865,1.08704446944699,NA,NA
158,0.670419086446419,0.734621219509535,1.02133538333319,1.08833206717342,NA,NA
159,0.672099068401564,0.736022139726184,1.02339890994699,1.08917993493505,NA,NA
160,0.673635253111063,0.737873470347484,1.0247713543721,1.09079759499919,NA,NA
161,0.675578029414468,0.739728972196759,1.02722770089567,1.09243795711491,NA,NA
162,0.677694179514033,0.741867039197951,1.02944339504606,1.09410530702732,NA,NA
163,0.680278521176348,0.743742600516276,1.03140420515504,1.09597062563554,NA,NA
164,0.682602790652339,0.74557913239863,1.03351679525816,1.09794275602289,NA,NA
165,0.685217966746664,0.747480444329145,1.03540309109066,1.09879840288623,NA,NA
166,0.687935587791323,0.74933174639327,1.03761864546117,1.10378197174101,NA,NA
167,0.690587772861628,0.751510477061761,1.03965368100306,1.10810012560844,NA,NA
168,0.693169251533845,0.753750117647141,1.04163265773742,1.1115820284754,NA,NA
169,0.695782235420317,0.755803129093689,1.04332061631808,1.11367505025991,NA,NA
170,0.698063458421591,0.757877300444484,1.04527943190929,1.11554166320693,NA,NA
171,0.700431780517007,0.760086515131515,1.04731166344026,1.11721908507907,NA,NA
172,0.703086540043032,0.76204723849257,1.04930321044097,1.11925576947987,NA,NA
173,0.705501164282845,0.764237726495316,1.05094321570595,1.12102536549445,NA,NA
174,0.70802018288553,0.766218982071298,1.0528050598089,1.1229288908006,NA,NA
175,0.71043751874093,0.76805097231332,1.0548985645923,1.12479603931841,NA,NA
176,0.712415608751883,0.769629110396088,1.0564426898009,1.12653278475301,NA,NA
177,0.714638822931092,0.771705742080856,1.05812228886054,1.12812790077178,NA,NA
178,0.717004396727966,0.773775469926542,1.05989116176745,1.13035966542491,NA,NA
179,0.719335933498801,0.775710378651358,1.06162233797513,1.13213579176437,NA,NA
180,0.721781382885252,0.777544434456121,1.06348670211944,1.13385378622483,NA,NA
181,0.72437242921757,0.779291591697039,1.06518409099645,1.13217899479968,NA,NA
182,0.726777640496187,0.781171150844875,1.06744902189589,1.13679447717414,NA,NA
183,0.729268474494593,0.783098315152581,1.06938568664219,1.13996732284118,NA,NA
184,0.731848784642703,0.785072431478652,1.07069845510018,1.14261795689982,NA,NA
185,0.734006192120431,0.786745772490404,1.07274294722329,1.14492749555489,NA,NA
186,0.736526040789634,0.78867010316545,1.07472091155449,1.14679415898393,NA,NA
187,0.738913148284241,0.790295787806841,1.07651575369322,1.14877265979369,NA,NA
188,0.741309284371443,0.792246644773412,1.07838897125903,1.15057862624151,NA,NA
189,0.743725637754105,0.793883971514518,1.08010796300208,1.15256840232837,NA,NA
190,0.745644332384566,0.795806759314957,1.08176669314155,1.15439878988189,NA,NA
191,0.748051001581423,0.797860613482414,1.08366094737499,1.15639965095167,NA,NA
192,0.750436717301745,0.799667827685961,1.08522161296966,1.15788179766471,NA,NA
193,0.752771485210533,0.801411198324249,1.08759186739328,1.15955178443045,NA,NA
194,0.755288819893577,0.803515650688372,1.0896251676107,1.16113030277719,NA,NA
195,0.757645791136,0.80530593669738,1.09138657387027,1.15761413270706,NA,NA
196,0.760080484965057,0.807074104628029,1.09310906649276,1.16102939432073,NA,NA
197,0.762314241252708,0.808769328569705,1.09478703559956,1.16405874596558,NA,NA
198,0.764675513227844,0.810378556887788,1.09660585750042,1.16637662040848,NA,NA
199,0.767112607899068,0.812193765307192,1.09835571071277,1.1687379594195,NA,NA
200,0.769638518999955,0.813949210950971,1.09983415011605,1.17026548860785,NA,NA
201,0.771490115287657,0.815114134020976,1.10131559765877,1.17151286056008,NA,NA
202,0.773993619177916,0.816930650603875,1.10321875759336,1.17345758145921,NA,NA
203,0.776518215825312,0.818585356025668,1.10497548740677,1.17498250664598,NA,NA
204,0.778840285470273,0.820573145903021,1.10718280828444,1.17642513284699,NA,NA
205,0.780988894197052,0.822316864606474,1.10885056365455,1.17824786532571,NA,NA
206,0.783135654733327,0.823831521402138,1.11064248724293,1.1801794309661,NA,NA
207,0.785149643029126,0.825357347070585,1.11207932858573,1.18181797977749,NA,NA
208,0.787531117511904,0.827218461607301,1.11385560477776,1.18364460552275,NA,NA
209,0.790425526332288,0.82914075330883,1.11557394473696,1.18504710353107,NA,NA
210,0.792908439104838,0.830690658491834,1.11761655978292,1.18627818864733,NA,NA
211,0.795135848725211,0.832022756355089,1.11930825447242,1.18797902239454,NA,NA
212,0.797426798212324,0.8335620926721,1.12102470238427,1.18964261172871,NA,NA
213,0.79986090792262,0.835014984803589,1.12241460351082,1.19156864669095,NA,NA
214,0.802171175800813,0.836609492051243,1.12428003674776,1.19333175292003,NA,NA
215,0.804015035882319,0.838216864065515,1.12585957616459,1.19537097889894,NA,NA
216,0.806390627507947,0.839897972891144,1.12772289523822,1.19709367039214,NA,NA
217,0.808713411381528,0.841271820119119,1.12965784229935,1.19871313791803,NA,NA
218,0.810937116195276,0.842680796563989,1.1315710347036,1.2002906933136,NA,NA
219,0.812981148863917,0.844344555659697,1.13361834691029,1.20192478658598,NA,NA
220,0.814969399595202,0.845813354793406,1.13532807546618,1.20378150966734,NA,NA
221,0.817075180913294,0.84734623364665,1.13714115652821,1.20540732101647,NA,NA
222,0.819209701436107,0.848916249071874,1.13860867366344,1.2072291600401,NA,NA
223,0.821664996126784,0.850521761546145,1.14053729529371,1.20872632451696,NA,NA
224,0.823613660904417,0.851977534103826,1.14204723617127,1.20996819162145,NA,NA
225,0.825992010801766,0.853562313544571,1.14389844319425,1.21174708201871,NA,NA
226,0.827555498807521,0.854894973542469,1.14502147495322,1.21300622012816,NA,NA
227,0.829918891745331,0.856267041129308,1.14700935141225,1.21493670519682,NA,NA
228,0.831910179022951,0.857882347052631,1.14873391328746,1.21633240596613,NA,NA
229,0.834170033743697,0.859397171299169,1.15007225368678,1.21804455481231,NA,NA
230,0.836482574990784,0.860625902073968,1.15176283472119,1.21979957182112,NA,NA
231,0.838553434707738,0.862006228850509,1.15328111736442,1.22159666732031,NA,NA
232,0.840543341617179,0.863666123937462,1.15484580472018,1.22308686947935,NA,NA
233,0.84289065807748,0.865128806675405,1.15634048394509,1.22460005849062,NA,NA
234,0.84493452005574,0.866640627608063,1.15789373760906,1.22630798893522,NA,NA
235,0.846898729006797,0.86822912713465,1.15950382615187,1.22835453921631,NA,NA
236,0.849062256347962,0.869588094500312,1.16155344603199,1.22957164004101,NA,NA
237,0.851266214669067,0.870986034974777,1.16303788581555,1.23118133122175,NA,NA
238,0.85339262367319,0.872410067435558,1.16484791034611,1.23291940538442,NA,NA
239,0.85537239072573,0.873947949960603,1.1662457258914,1.23426051519206,NA,NA
240,0.857602688613051,0.875296043690058,1.16754868944996,1.23570943473428,NA,NA
241,0.859803030453211,0.87658267170916,1.16901459241489,1.23693636720373,NA,NA
242,0.861676251630181,0.877973982895756,1.17086490238647,1.23875635750873,NA,NA
243,0.864045704248454,0.879277645028962,1.1726167363649,1.24016251323495,NA,NA
244,0.866198646034801,0.880848591426823,1.17418412456487,1.24207250049743,NA,NA
245,0.868416511495092,0.882146960555508,1.17573021957301,1.24381105503379,NA,NA
246,0.87067611969491,0.883580756377538,1.17776737455839,1.2450310819713,NA,NA
247,0.872889437328388,0.885148107938788,1.17962267471202,1.24647489298816,NA,NA
248,0.875189588448478,0.886715560827716,1.18145048940808,1.24791007439637,NA,NA
249,0.877117587596147,0.887877132999732,1.1826911481051,1.24947352490726,NA,NA
250,0.879281767206127,0.889115331243216,1.18404978269665,1.25106098800377,NA,NA
251,0.880721680706821,0.89022761583107,1.18525943805563,1.25228830675045,NA,NA
252,0.882767506369581,0.891498099644101,1.18680992153669,1.25422617705848,NA,NA
253,0.885075698794892,0.892853914087774,1.18828118841639,1.25569702758409,NA,NA
254,0.887030659227566,0.894071939420691,1.1900438759044,1.25690027854805,NA,NA
255,0.889166748347978,0.895233125567929,1.19176733642563,1.25852110867879,NA,NA
256,0.891334081889752,0.89658049229207,1.19335394548944,1.26006339317564,NA,NA
257,0.893454167554665,0.897845837737897,1.19505261153322,1.26135937045809,NA,NA
258,0.895360048656571,0.899264570415655,1.1966872910052,1.26298624956626,NA,NA
259,0.897019963601743,0.900374373153258,1.19803901499361,1.26460091063896,NA,NA
260,0.89924090716328,0.901450177153234,1.1998515798159,1.2660847394543,NA,NA
261,0.901315287756224,0.902662746316517,1.20140343939469,1.26745669178458,NA,NA
262,0.903027371539516,0.904441305909986,1.20338000099513,1.26898089489892,NA,NA
263,0.904826142536133,0.905877642620836,1.20475791110915,1.27031525866709,NA,NA
264,0.906838282125574,0.907344067398222,1.20599277390255,1.27211735198993,NA,NA
265,0.908581746401069,0.908702361199407,1.20795810704216,1.27356026770668,NA,NA
266,0.910805723471133,0.909981345298163,1.20953778600677,1.27473546788124,NA,NA
267,0.912649590946547,0.911260200998964,1.21061599948802,1.27633721677772,NA,NA
268,0.914503384486009,0.912476539359432,1.2120999487365,1.2781522975642,NA,NA
269,0.916287633273434,0.913660761000661,1.21346483930415,1.27961045936705,NA,NA
270,0.918203924998312,0.915229890803615,1.21527027924059,1.28105051559701,NA,NA
271,0.920571567083428,0.916442731631781,1.21636779835879,1.28270857937811,NA,NA
272,0.922596319763457,0.917542729856067,1.21828636750111,1.28402332126741,NA,NA
273,0.924391227013077,0.918805335737355,1.2198332778048,1.28545113455402,NA,NA
274,0.926286533908955,0.920120348538407,1.22122600684817,1.28694786175911,NA,NA
275,0.928154966756481,0.921561195883406,1.22309578190671,1.2881997542876,NA,NA
276,0.929762949755186,0.922368869049378,1.22439626899996,1.28903007172744,NA,NA
277,0.931672838699326,0.923628724083202,1.22615276468644,1.2903800264483,NA,NA
278,0.933495098136705,0.924650136024325,1.22762326617125,1.29210206480139,NA,NA
279,0.935733938739403,0.925619233145854,1.22894614856463,1.29341500471278,NA,NA
280,0.937556762979673,0.926867968549433,1.23011425170211,1.2947021270881,NA,NA
281,0.939518101088186,0.928106220146291,1.23155648765439,1.29599315385139,NA,NA
282,0.941785196852537,0.929466631551622,1.23325212327752,1.29705856508822,NA,NA
283,0.943658386906312,0.930585568474254,1.2347600264094,1.29840674540411,NA,NA
284,0.945695175092322,0.931740550936108,1.23609768531657,1.30029226466642,NA,NA
285,0.947336490861623,0.932644979395575,1.23763560648056,1.3018921337863,NA,NA
286,0.949278606012059,0.933882039987697,1.23889386850574,1.3033431635287,NA,NA
287,0.951249623835641,0.935056849962623,1.2401482891665,1.3046088687611,NA,NA
288,0.953098708028648,0.936386352927699,1.24149183037507,1.30586837274996,NA,NA
289,0.955225727345455,0.937534075438568,1.24302080870253,1.30720239529035,NA,NA
290,0.957196956439938,0.9388603095474,1.24397625454938,1.30863868673951,NA,NA
291,0.959094426426572,0.940032416255573,1.24546099895907,1.31001987518032,NA,NA
292,0.960782009319511,0.941174362695227,1.24684397300367,1.31140035477141,NA,NA
293,0.962880631958699,0.942333361004288,1.24823264645794,1.3126887145459,NA,NA
294,0.964956685065178,0.943226780126304,1.25004475428302,1.31387263068668,NA,NA
295,0.966850221893784,0.944509310081525,1.25135829770987,1.3152859152958,NA,NA
296,0.968509332507824,0.945660387732413,1.25288530971924,1.31623697053417,NA,NA
297,0.970082059746587,0.946975599296648,1.25408249310456,1.31767658416228,NA,NA
298,0.971831511540293,0.948116153694304,1.25504409193488,1.31901269978508,NA,NA
299,0.973502163586746,0.949168359059804,1.25643982534612,1.32026512352805,NA,NA
300,0.975534425554497,0.950162238123665,1.25779931573398,1.32188532101899,NA,NA
301,0.976939193458753,0.950940120427631,1.25889289618149,1.32317767025776,NA,NA
302,0.978741269532407,0.952286278610395,1.26013942522696,1.32478000940964,NA,NA
303,0.980527443257959,0.9535938496654,1.26162795355727,1.32655635838255,NA,NA
304,0.982313148530698,0.954617096350325,1.26312690282807,1.32778964974297,NA,NA
305,0.984623697721311,0.955438559351695,1.26472229858576,1.32868909358707,NA,NA
306,0.986692137566815,0.956515793659407,1.26592519658305,1.33014413677913,NA,NA
307,0.988407103484122,0.957354361971022,1.26732528829472,1.33168798124764,NA,NA
308,0.989978357558292,0.958399909316548,1.26865031322516,1.33285641283238,NA,NA
309,0.991733606749323,0.959623384565383,1.2701340324664,1.33405550089937,NA,NA
310,0.993762313909349,0.960767220151786,1.27136101083948,1.33510981198305,NA,NA
311,0.994978008228041,0.96180632052929,1.27295574152582,1.33657588193712,NA,NA
312,0.996391646013791,0.962905786619273,1.2744456747918,1.33805892512904,NA,NA
313,0.998470709472681,0.963825170335493,1.27603205709773,1.33976951718111,NA,NA
314,1.00014460320344,0.964658624113994,1.27758298330208,1.34087535243021,NA,NA
315,1.00223464696014,0.96571375153881,1.27878939796135,1.34186051594305,NA,NA
316,1.00419693722064,0.966726334939763,1.27998071001181,1.34348715714503,NA,NA
317,1.0059132586305,0.967616144181267,1.28120949333818,1.34502950237407,NA,NA
318,1.0076587509003,0.968457657249248,1.28206804219962,1.34649875397741,NA,NA
319,1.00924735085421,0.969642949194139,1.28338019299189,1.34744685998886,NA,NA
320,1.01084564840614,0.970471929423458,1.28478275130479,1.34830538232923,NA,NA
321,1.01275552846612,0.971310800143745,1.28626363966999,1.3497011256367,NA,NA
322,1.01475209086748,0.972338386032307,1.28754437155616,1.35118347227909,NA,NA
323,1.01649280225907,0.973323882056668,1.28912399980777,1.35253029250141,NA,NA
324,1.01800624955401,0.974338961345933,1.29068232523556,1.35383000975928,NA,NA
325,1.019905894668,0.975560705890047,1.29211545594207,1.35533628196344,NA,NA
326,1.02117703670793,0.976429332967575,1.2930441166233,1.35642029918591,NA,NA
327,1.02310804958972,0.977476298681926,1.29472495072428,1.35788610576215,NA,NA
328,1.02471072995247,0.978322354308616,1.29573450751221,1.35885113970575,NA,NA
329,1.02633936150063,0.979410584440507,1.29726517654366,1.35997140994589,NA,NA
330,1.02785338110702,0.980212114271632,1.29882682999732,1.36126195643799,NA,NA
331,1.02979500430462,0.981104855412213,1.30032704134865,1.36247034903533,NA,NA
332,1.03140745402641,0.982013523890521,1.30166872143667,1.36359872258971,NA,NA
333,1.03319031625541,0.983088899445415,1.30268272263268,1.36471563513411,NA,NA
334,1.03501851953536,0.984169654813392,1.30361939747594,1.36592774008269,NA,NA
335,1.03678664633548,0.984866077448901,1.30502333206064,1.36716272159179,NA,NA
336,1.03818455624644,0.985850479554173,1.30661789418719,1.36818920144446,NA,NA
337,1.03958587337354,0.986562401913239,1.3079099637354,1.36934060869431,NA,NA
338,1.04120149548324,0.987358697122427,1.30901076231336,1.37047133507013,NA,NA
339,1.04323773159076,0.988358448249843,1.3100550084154,1.3718608633476,NA,NA
340,1.04487485295061,0.989436961988948,1.31176393954715,1.37301180867403,NA,NA
341,1.0463594832615,0.990285361446835,1.31349056028877,1.3742127576061,NA,NA
342,1.0479240689474,0.991279445527594,1.31484112634977,1.37555555177107,NA,NA
343,1.04981063297652,0.992199992434824,1.3164032746323,1.37692893691979,NA,NA
344,1.05103480065688,0.993080506775193,1.31763534925533,1.37816161040065,NA,NA
345,1.05275236046041,0.99373495631167,1.31875071528653,1.37936347682442,NA,NA
346,1.05447214210475,0.994610468248475,1.32011325994293,1.38123362069487,NA,NA
347,1.05597284694437,0.995439432078192,1.32126836900659,1.38221852088113,NA,NA
348,1.05742380505269,0.996144363833344,1.32254085625931,1.38352829964357,NA,NA
349,1.05938568291651,0.997055676102513,1.32330173496523,1.38479255458101,NA,NA
350,1.06084512659504,0.997605162235088,1.32458459111089,1.38575758734584,NA,NA
